order_id,order_date,status,fulfilment,category,quantity,amount,ship_state
405-8078784-5731545,2022-04-30,Cancelled,Merchant,Set,0,647.62,MAHARASHTRA
171-9198151-1101146,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,406,KARNATAKA
404-0687676-7273146,2022-04-30,Shipped,Amazon,kurta,1,329,MAHARASHTRA
403-9615377-8133951,2022-04-30,Cancelled,Merchant,Western Dress,0,753.33,PUDUCHERRY
407-1069790-7240320,2022-04-30,Shipped,Amazon,Top,1,574,TAMIL NADU
404-1490984-4578765,2022-04-30,Shipped,Amazon,Set,1,824,UTTAR PRADESH
408-5748499-6859555,2022-04-30,Shipped,Amazon,Set,1,653,CHANDIGARH
406-7807733-3785945,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399,TELANGANA
407-5443024-5233168,2022-04-30,Cancelled,Amazon,Set,0,,TELANGANA
402-4393761-0311520,2022-04-30,Shipped,Amazon,kurta,1,363,TAMIL NADU
407-5633625-6970741,2022-04-30,Shipped,Amazon,kurta,1,685,TAMIL NADU
171-4638481-6326716,2022-04-30,Shipped,Amazon,kurta,1,364,UTTAR PRADESH
405-5513694-8146768,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399,MAHARASHTRA
408-7955685-3083534,2022-04-30,Shipped,Amazon,Set,1,657,MAHARASHTRA
408-1298370-1920302,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,771,MAHARASHTRA
403-4965581-9520319,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,544,ANDHRA PRADESH
406-9379318-6555504,2022-04-30,Shipped,Amazon,kurta,1,329,RAJASTHAN
405-9013803-8009918,2022-04-30,Shipped,Amazon,kurta,1,399,DELHI
402-4030358-5835511,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,458,HARYANA
405-5957858-1051546,2022-04-30,Shipped,Amazon,Set,1,886,KARNATAKA
405-0607769-0716360,2022-04-30,Shipped,Amazon,kurta,1,517,TAMIL NADU
404-8494550-5860325,2022-04-30,Shipped,Amazon,Set,1,666,KARNATAKA
171-1305077-2813934,2022-04-30,Shipped,Amazon,kurta,1,376,TELANGANA
404-6019946-2909948,2022-04-30,Cancelled,Merchant,Set,0,570.48,MAHARASHTRA
402-3384087-4005164,2022-04-30,Shipped,Amazon,kurta,1,499,ASSAM
405-8191138-5176316,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,582,JHARKHAND
403-9230474-9657916,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,299,CHHATTISGARH
408-3484251-6901959,2022-04-30,Shipped,Amazon,kurta,1,459,MAHARASHTRA
405-7755803-4729935,2022-04-30,Shipped,Amazon,kurta,1,399,KARNATAKA
404-5933402-8801952,2022-04-30,Cancelled,Merchant,kurta,0,,ASSAM
171-9040274-9291563,2022-04-30,Shipped,Amazon,Western Dress,1,791,TAMIL NADU
403-7056319-0979561,2022-04-30,Shipped,Amazon,kurta,1,499,UTTAR PRADESH
404-9632124-1107550,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,1233,ANDHRA PRADESH
402-1465437-0579556,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,517,ODISHA
404-7774085-3780319,2022-04-30,Shipped,Amazon,kurta,1,376,TELANGANA
402-2764952-1492318,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,499,UTTAR PRADESH
406-0272200-7784379,2022-04-30,Shipped,Amazon,Set,1,666,TAMIL NADU
403-4367956-2849158,2022-04-30,Shipped,Amazon,kurta,1,487,DELHI
403-4367956-2849158,2022-04-30,Shipped,Amazon,kurta,1,368,DELHI
403-4242957-8599555,2022-04-30,Shipped,Amazon,kurta,1,399,KERALA
408-7165704-5643524,2022-04-30,Shipped,Amazon,Ethnic Dress,1,699,UTTAR PRADESH
402-8210765-3935569,2022-04-30,Shipped,Amazon,Western Dress,1,885,MADHYA PRADESH
406-7398201-3869914,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,424,MAHARASHTRA
408-3478480-0881162,2022-04-30,Shipped,Amazon,Set,1,1126,UTTAR PRADESH
402-7595162-9129931,2022-04-30,Shipped,Amazon,Set,1,788,MAHARASHTRA
171-6876154-6233146,2022-04-30,Shipped,Amazon,Set,1,759,WEST BENGAL
408-3917043-5314763,2022-04-30,Shipped,Amazon,Set,1,1146,ANDHRA PRADESH
408-9281152-6213100,2022-04-30,Shipped,Amazon,Top,1,665,TELANGANA
403-3496411-3082707,2022-04-30,Shipped,Amazon,kurta,1,429,TELANGANA
171-9208368-0157156,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399,UTTAR PRADESH
408-2137113-0982751,2022-04-30,Shipped,Amazon,Set,1,848,ODISHA
402-3628566-9688333,2022-04-30,Shipped,Amazon,Set,1,654,MAHARASHTRA
408-7138000-9728362,2022-04-30,Shipped,Amazon,Set,1,1033,NAGALAND
402-1752649-2274748,2022-04-30,Shipped,Amazon,kurta,1,390,KARNATAKA
402-7944191-1869101,2022-04-30,Shipped,Amazon,Top,1,493,KARNATAKA
407-4063876-9566742,2022-04-30,Shipped,Amazon,Western Dress,1,721,TELANGANA
403-0752752-4656334,2022-04-30,Shipped,Amazon,Set,1,597,RAJASTHAN
406-8879861-2081117,2022-04-30,Shipped,Amazon,kurta,1,399,ASSAM
406-8089333-7941903,2022-04-30,Shipped,Amazon,Set,1,888,KARNATAKA
171-3072652-6805159,2022-04-30,Shipped,Amazon,kurta,1,353,TELANGANA
171-2592464-6846743,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,599,KARNATAKA
404-2262140-4696366,2022-04-30,Shipped,Amazon,kurta,1,518,MAHARASHTRA
404-2262140-4696366,2022-04-30,Shipped,Amazon,kurta,1,295,MAHARASHTRA
405-3594372-1614709,2022-04-30,Shipped,Amazon,Set,1,852,UTTAR PRADESH
407-2974257-4781134,2022-04-30,Shipped,Amazon,Set,1,824,MAHARASHTRA
171-4137548-0481151,2022-04-30,Cancelled,Amazon,kurta,0,,Gujarat
405-4461562-9113959,2022-04-30,Shipped,Amazon,Set,1,909,JHARKHAND
404-4535078-5241919,2022-04-30,Shipped,Amazon,Top,1,432,MAHARASHTRA
405-8387725-2971512,2022-04-30,Shipped,Amazon,Set,1,545,KARNATAKA
405-6480932-8759528,2022-04-30,Shipped,Amazon,Set,1,1146,KARNATAKA
405-9966506-3155561,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,696,TAMIL NADU
408-7029737-8028367,2022-04-30,Shipped,Amazon,kurta,1,432,MAHARASHTRA
407-2189901-7515567,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,631,KARNATAKA
402-2105657-2899562,2022-04-30,Shipped,Amazon,kurta,1,316,KARNATAKA
406-1326801-8886709,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,362,ODISHA
408-7760667-5809130,2022-04-30,Shipped,Amazon,kurta,1,329,TELANGANA
405-8457623-9269955,2022-04-30,Shipped,Amazon,kurta,1,399,MAHARASHTRA
408-6820155-3521913,2022-04-30,Shipped,Amazon,Set,1,751,ASSAM
403-6190683-2687538,2022-04-30,Shipped,Amazon,Western Dress,1,791,Gujarat
408-4069830-3819562,2022-04-30,Shipped,Amazon,Set,1,684,WEST BENGAL
408-4069830-3819562,2022-04-30,Shipped,Amazon,Set,1,1281,WEST BENGAL
408-4069830-3819562,2022-04-30,Shipped,Amazon,Set,1,1186,WEST BENGAL
171-7367545-7081126,2022-04-30,Shipped,Amazon,kurta,1,499,TELANGANA
404-6522553-9345930,2022-04-30,Cancelled,Merchant,Set,0,1105.36,UTTARAKHAND
403-9950518-0349133,2022-04-30,Cancelled,Amazon,kurta,0,,TELANGANA
407-6599093-6553153,2022-04-30,Shipped - Delivered to Buyer,Merchant,Bottom,1,377,WEST BENGAL
403-3763475-2237125,2022-04-30,Shipped,Amazon,Western Dress,1,744,TAMIL NADU
405-1492294-0323520,2022-04-30,Shipped,Amazon,Western Dress,1,744,UTTARAKHAND
403-1162895-2484367,2022-04-30,Shipped - Delivered to Buyer,Merchant,Western Dress,1,859,RAJASTHAN
171-6833843-5473114,2022-04-30,Shipped,Amazon,kurta,1,487,Gujarat
403-1477057-8253913,2022-04-30,Shipped,Amazon,Western Dress,1,825,KERALA
408-2114413-6089906,2022-04-30,Shipped,Amazon,Set,1,680,BIHAR
405-1879750-2639521,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,725,TAMIL NADU
406-5727754-5302723,2022-04-30,Shipped,Amazon,Set,1,696,Gujarat
405-0901744-8270705,2022-04-30,Shipped,Amazon,kurta,1,499,Gujarat
405-9112089-3379536,2022-04-30,Cancelled,Amazon,kurta,0,,MAHARASHTRA
408-6357132-2310703,2022-04-30,Shipped,Amazon,Set,1,696,JAMMU & KASHMIR
406-5334922-9670748,2022-04-30,Shipped,Amazon,kurta,1,406,KARNATAKA
402-8519791-3706738,2022-04-30,Shipped,Amazon,Set,1,852,DELHI
408-1830318-0357940,2022-04-30,Shipped,Amazon,kurta,1,399,HARYANA
406-5103760-7326749,2022-04-30,Shipped,Amazon,kurta,1,432,Gujarat
402-7841951-1872363,2022-04-30,Cancelled,Amazon,Set,0,,DELHI
408-7698765-2294756,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,1338,MAHARASHTRA
