order_id,order_date,status,fulfilment,category,quantity,amount,ship_state,normalized_amount
405-8078784-5731545,2022-04-30,Cancelled,Merchant,Set,0,647.62,MAHARASHTRA,0.29119604316546766
171-9198151-1101146,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,406.0,KARNATAKA,0.18255395683453238
404-0687676-7273146,2022-04-30,Shipped,Amazon,kurta,1,329.0,MAHARASHTRA,0.147931654676259
403-9615377-8133951,2022-04-30,Cancelled,Merchant,Western Dress,0,753.33,PUDUCHERRY,0.3387275179856115
407-1069790-7240320,2022-04-30,Shipped,Amazon,Top,1,574.0,TAMIL NADU,0.2580935251798561
404-1490984-4578765,2022-04-30,Shipped,Amazon,Set,1,824.0,UTTAR PRADESH,0.37050359712230213
408-5748499-6859555,2022-04-30,Shipped,Amazon,Set,1,653.0,CHANDIGARH,0.29361510791366907
406-7807733-3785945,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399.0,TELANGANA,0.17940647482014388
407-5443024-5233168,2022-04-30,Cancelled,Amazon,Set,0,0.0,TELANGANA,0.0
402-4393761-0311520,2022-04-30,Shipped,Amazon,kurta,1,363.0,TAMIL NADU,0.16321942446043167
407-5633625-6970741,2022-04-30,Shipped,Amazon,kurta,1,685.0,TAMIL NADU,0.30800359712230213
171-4638481-6326716,2022-04-30,Shipped,Amazon,kurta,1,364.0,UTTAR PRADESH,0.16366906474820145
405-5513694-8146768,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399.0,MAHARASHTRA,0.17940647482014388
408-7955685-3083534,2022-04-30,Shipped,Amazon,Set,1,657.0,MAHARASHTRA,0.2954136690647482
408-1298370-1920302,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,771.0,MAHARASHTRA,0.3466726618705036
403-4965581-9520319,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,544.0,ANDHRA PRADESH,0.2446043165467626
406-9379318-6555504,2022-04-30,Shipped,Amazon,kurta,1,329.0,RAJASTHAN,0.147931654676259
405-9013803-8009918,2022-04-30,Shipped,Amazon,kurta,1,399.0,DELHI,0.17940647482014388
402-4030358-5835511,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,458.0,HARYANA,0.20593525179856115
405-5957858-1051546,2022-04-30,Shipped,Amazon,Set,1,886.0,KARNATAKA,0.3983812949640288
405-0607769-0716360,2022-04-30,Shipped,Amazon,kurta,1,517.0,TAMIL NADU,0.23246402877697842
404-8494550-5860325,2022-04-30,Shipped,Amazon,Set,1,666.0,KARNATAKA,0.2994604316546763
171-1305077-2813934,2022-04-30,Shipped,Amazon,kurta,1,376.0,TELANGANA,0.16906474820143885
404-6019946-2909948,2022-04-30,Cancelled,Merchant,Set,0,570.48,MAHARASHTRA,0.25651079136690647
402-3384087-4005164,2022-04-30,Shipped,Amazon,kurta,1,499.0,ASSAM,0.2243705035971223
405-8191138-5176316,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,582.0,JHARKHAND,0.26169064748201437
403-9230474-9657916,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,299.0,CHHATTISGARH,0.13444244604316546
408-3484251-6901959,2022-04-30,Shipped,Amazon,kurta,1,459.0,MAHARASHTRA,0.20638489208633093
405-7755803-4729935,2022-04-30,Shipped,Amazon,kurta,1,399.0,KARNATAKA,0.17940647482014388
404-5933402-8801952,2022-04-30,Cancelled,Merchant,kurta,0,0.0,ASSAM,0.0
171-9040274-9291563,2022-04-30,Shipped,Amazon,Western Dress,1,791.0,TAMIL NADU,0.3556654676258993
403-7056319-0979561,2022-04-30,Shipped,Amazon,kurta,1,499.0,UTTAR PRADESH,0.2243705035971223
404-9632124-1107550,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,1233.0,ANDHRA PRADESH,0.5544064748201439
402-1465437-0579556,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,517.0,ODISHA,0.23246402877697842
404-7774085-3780319,2022-04-30,Shipped,Amazon,kurta,1,376.0,TELANGANA,0.16906474820143885
402-2764952-1492318,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,499.0,UTTAR PRADESH,0.2243705035971223
406-0272200-7784379,2022-04-30,Shipped,Amazon,Set,1,666.0,TAMIL NADU,0.2994604316546763
403-4367956-2849158,2022-04-30,Shipped,Amazon,kurta,1,487.0,DELHI,0.2189748201438849
403-4367956-2849158,2022-04-30,Shipped,Amazon,kurta,1,368.0,DELHI,0.16546762589928057
403-4242957-8599555,2022-04-30,Shipped,Amazon,kurta,1,399.0,KERALA,0.17940647482014388
408-7165704-5643524,2022-04-30,Shipped,Amazon,Ethnic Dress,1,699.0,UTTAR PRADESH,0.3142985611510791
402-8210765-3935569,2022-04-30,Shipped,Amazon,Western Dress,1,885.0,MADHYA PRADESH,0.397931654676259
406-7398201-3869914,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,424.0,MAHARASHTRA,0.1906474820143885
408-3478480-0881162,2022-04-30,Shipped,Amazon,Set,1,1126.0,UTTAR PRADESH,0.5062949640287769
402-7595162-9129931,2022-04-30,Shipped,Amazon,Set,1,788.0,MAHARASHTRA,0.35431654676258995
171-6876154-6233146,2022-04-30,Shipped,Amazon,Set,1,759.0,WEST BENGAL,0.3412769784172662
408-3917043-5314763,2022-04-30,Shipped,Amazon,Set,1,1146.0,ANDHRA PRADESH,0.5152877697841727
408-9281152-6213100,2022-04-30,Shipped,Amazon,Top,1,665.0,TELANGANA,0.29901079136690645
403-3496411-3082707,2022-04-30,Shipped,Amazon,kurta,1,429.0,TELANGANA,0.1928956834532374
171-9208368-0157156,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399.0,UTTAR PRADESH,0.17940647482014388
408-2137113-0982751,2022-04-30,Shipped,Amazon,Set,1,848.0,ODISHA,0.381294964028777
402-3628566-9688333,2022-04-30,Shipped,Amazon,Set,1,654.0,MAHARASHTRA,0.29406474820143885
408-7138000-9728362,2022-04-30,Shipped,Amazon,Set,1,1033.0,NAGALAND,0.46447841726618705
402-1752649-2274748,2022-04-30,Shipped,Amazon,kurta,1,390.0,KARNATAKA,0.17535971223021582
402-7944191-1869101,2022-04-30,Shipped,Amazon,Top,1,493.0,KARNATAKA,0.2216726618705036
407-4063876-9566742,2022-04-30,Shipped,Amazon,Western Dress,1,721.0,TELANGANA,0.32419064748201437
403-0752752-4656334,2022-04-30,Shipped,Amazon,Set,1,597.0,RAJASTHAN,0.26843525179856115
406-8879861-2081117,2022-04-30,Shipped,Amazon,kurta,1,399.0,ASSAM,0.17940647482014388
406-8089333-7941903,2022-04-30,Shipped,Amazon,Set,1,888.0,KARNATAKA,0.39928057553956836
171-3072652-6805159,2022-04-30,Shipped,Amazon,kurta,1,353.0,TELANGANA,0.15872302158273383
171-2592464-6846743,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,599.0,KARNATAKA,0.2693345323741007
404-2262140-4696366,2022-04-30,Shipped,Amazon,kurta,1,518.0,MAHARASHTRA,0.2329136690647482
404-2262140-4696366,2022-04-30,Shipped,Amazon,kurta,1,295.0,MAHARASHTRA,0.13264388489208634
405-3594372-1614709,2022-04-30,Shipped,Amazon,Set,1,852.0,UTTAR PRADESH,0.3830935251798561
407-2974257-4781134,2022-04-30,Shipped,Amazon,Set,1,824.0,MAHARASHTRA,0.37050359712230213
171-4137548-0481151,2022-04-30,Cancelled,Amazon,kurta,0,0.0,Gujarat,0.0
405-4461562-9113959,2022-04-30,Shipped,Amazon,Set,1,909.0,JHARKHAND,0.4087230215827338
404-4535078-5241919,2022-04-30,Shipped,Amazon,Top,1,432.0,MAHARASHTRA,0.19424460431654678
405-8387725-2971512,2022-04-30,Shipped,Amazon,Set,1,545.0,KARNATAKA,0.24505395683453238
405-6480932-8759528,2022-04-30,Shipped,Amazon,Set,1,1146.0,KARNATAKA,0.5152877697841727
405-9966506-3155561,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,696.0,TAMIL NADU,0.3129496402877698
408-7029737-8028367,2022-04-30,Shipped,Amazon,kurta,1,432.0,MAHARASHTRA,0.19424460431654678
407-2189901-7515567,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,631.0,KARNATAKA,0.2837230215827338
402-2105657-2899562,2022-04-30,Shipped,Amazon,kurta,1,316.0,KARNATAKA,0.1420863309352518
406-1326801-8886709,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,362.0,ODISHA,0.16276978417266186
408-7760667-5809130,2022-04-30,Shipped,Amazon,kurta,1,329.0,TELANGANA,0.147931654676259
